brand_id,total_interactions,clicks,cart_additions,purchases,unique_products,purchase_share_percent
44571440,2,2,0,0,2,0.0
33490138,3,3,0,0,3,0.0
82873120,1,1,0,0,1,0.0
23790996,26,17,8,1,18,3.85
31286128,72,58,12,2,52,2.78
18639337,69,54,10,5,14,7.25
56563216,885,571,223,91,251,10.28
6312176,52,39,13,0,28,0.0
67072585,8813,6071,2633,109,2365,1.24
96836980,1082,697,349,36,569,3.33
36990206,43,25,17,1,26,2.33
81383506,13,8,4,1,10,7.69
88303246,47,36,8,3,32,6.38
72465992,1,0,1,0,1,0.0
33734605,83,60,16,7,55,8.43
40617026,175,116,48,11,103,6.29
33241674,5394,3944,1348,102,2364,1.89
50735614,29,20,8,1,27,3.45
31775854,1713,959,465,289,1210,16.87
4867005,5,4,1,0,3,0.0
48223324,964,589,373,2,309,0.21
5289797,29,20,4,5,18,17.24
88747984,339,220,80,39,184,11.5
45934888,51,35,14,2,38,3.92
18471319,22,16,6,0,21,0.0
38645246,4495,3603,794,98,4385,2.18
41380111,3,1,1,1,3,33.33
36751651,103,91,10,2,75,1.94
57663867,35,12,17,6,18,17.14
64708148,595,434,156,5,332,0.84
92037637,29,26,2,1,26,3.45
42230613,11,9,2,0,4,0.0
76136718,1,1,0,0,1,0.0
40683450,1,1,0,0,1,0.0
85387774,11,9,2,0,4,0.0
84785887,19,14,4,1,19,5.26
44465717,4,0,1,3,3,75.0
66591003,8,5,2,1,6,12.5
8611767,11,6,2,3,9,27.27
46506946,2,0,0,2,2,100.0
53045416,9,6,1,2,9,22.22
95899863,56,39,11,6,49,10.71
70175393,6,5,1,0,6,0.0
86263126,5,5,0,0,5,0.0
39343636,8,2,2,4,5,50.0
75460505,4,3,0,1,1,25.0
59378271,2,1,1,0,2,0.0
54806876,3,2,1,0,3,0.0
30508443,45,31,12,2,28,4.44
82565184,2,0,2,0,2,0.0
62324903,41,25,9,7,24,17.07
34809297,77,57,14,6,71,7.79
353993,4,2,1,1,3,25.0
74048123,240,177,47,16,181,6.67
56704907,1,1,0,0,1,0.0
37616834,43,36,4,3,35,6.98
49186125,7,5,1,1,6,14.29
48078661,71,58,12,1,37,1.41
97552724,112,97,12,3,89,2.68
97107624,619,503,101,15,554,2.42
66608734,4,3,0,1,4,25.0
48494883,2,2,0,0,2,0.0
53681138,4,1,2,1,3,25.0
72523899,49,33,10,6,35,12.24
30675411,1,1,0,0,1,0.0
86664915,31,20,10,1,5,3.23
27794486,5,5,0,0,5,0.0
80015978,30,25,3,2,22,6.67
95952368,246,212,31,3,192,1.22
53288233,37,26,11,0,35,0.0
57938788,34,28,6,0,17,0.0
16713223,28,26,2,0,27,0.0
85219974,10,10,0,0,7,0.0
92108233,14,13,1,0,13,0.0
60034801,1,1,0,0,1,0.0
74948547,3,1,1,1,2,33.33
54289642,4538,3185,1049,304,4271,6.7
50353271,1385,975,392,18,589,1.3
3180824,5,4,1,0,3,0.0
36092206,24,18,1,5,20,20.83
9981851,5,2,2,1,5,20.0
76087030,45,35,7,3,35,6.67
16009211,110,70,29,11,65,10.0
87675207,2034,1338,649,47,1272,2.31
60333963,1309,811,317,181,692,13.83
37403953,10,9,1,0,9,0.0
91742182,1,1,0,0,1,0.0
83743446,45,31,13,1,41,2.22
29518265,3,2,1,0,2,0.0
81499301,41,31,8,2,38,4.88
98219864,1,1,0,0,1,0.0
31068201,10,6,4,0,10,0.0
5642931,3,3,0,0,3,0.0
45938569,249,178,70,1,154,0.4
18112305,10,10,0,0,10,0.0
90834469,1,1,0,0,1,0.0
68328140,957,642,237,78,864,8.15
57571001,4,1,3,0,3,0.0
31629861,302,196,99,7,216,2.32
29184069,45,30,12,3,24,6.67
1155441,189,158,25,6,154,3.17
42550183,13,7,6,0,4,0.0
9836207,87,67,19,1,44,1.15
86017533,35,30,5,0,35,0.0
39655333,7,6,1,0,7,0.0
17836039,8,5,3,0,8,0.0
94616349,19,10,6,3,9,15.79
73102947,4,2,2,0,3,0.0
41209244,2,2,0,0,2,0.0
78545043,103,89,14,0,87,0.0
40232850,2,2,0,0,2,0.0
62318446,22,20,2,0,17,0.0
54955951,5,3,1,1,3,20.0
19296537,9,5,4,0,7,0.0
36220223,15,8,5,2,3,13.33
42219848,26,20,6,0,18,0.0
2066811,182,87,62,33,93,18.13
67481146,29,22,3,4,13,13.79
32669208,102,88,11,3,61,2.94
96590144,123,75,35,13,65,10.57
86800858,11,9,2,0,5,0.0
35051377,450,304,129,17,251,3.78
44470919,7,6,0,1,7,14.29
71271628,42,18,19,5,31,11.9
61193212,276,189,86,1,123,0.36
89700451,3,3,0,0,3,0.0
55538918,17,12,4,1,11,5.88
40839389,27,18,6,3,6,11.11
52967698,2315,1666,535,114,1168,4.92
81333812,1262,892,321,49,699,3.88
35511713,2,2,0,0,2,0.0
89003159,4,4,0,0,2,0.0
3507532,1,1,0,0,1,0.0
17752037,3,1,1,1,2,33.33
78492916,144,102,39,3,60,2.08
56184183,3941,2778,986,177,1687,4.49
63922054,17,11,4,2,15,11.76
7932893,11,5,2,4,3,36.36
79068112,34,26,3,5,24,14.71
89727395,292,211,80,1,144,0.34
40065672,2,2,0,0,2,0.0
80863194,43,33,10,0,9,0.0
5050762,253,177,73,3,157,1.19
80596996,71,47,20,4,50,5.63
50864744,2,2,0,0,2,0.0
67261154,7,4,2,1,6,14.29
97268014,168,77,52,39,78,23.21
77008558,6,6,0,0,6,0.0
41461209,22,12,8,2,21,9.09
49322353,10,7,3,0,7,0.0
30318186,17,11,5,1,11,5.88
61301986,33,21,9,3,24,9.09
5782671,1011,735,257,19,416,1.88
79551116,40,34,6,0,40,0.0
65208347,4,3,1,0,2,0.0
41978708,13,7,5,1,12,7.69
48908186,6,5,1,0,6,0.0
54046301,1,0,1,0,1,0.0
27210586,6,2,3,1,2,16.67
16786890,12,8,4,0,9,0.0
45449829,162,69,58,35,73,21.6
9503420,736,446,193,97,398,13.18
9375404,63,32,28,3,30,4.76
92718182,32,23,9,0,25,0.0
99069122,5,5,0,0,3,0.0
27659636,218,141,50,27,148,12.39
78267904,1,1,0,0,1,0.0
91301110,5,4,0,1,5,20.0
64721829,11,5,3,3,10,27.27
32990059,10,5,4,1,7,10.0
50901793,1,0,1,0,1,0.0
31364690,35,31,3,1,33,2.86
26162918,102,68,23,11,81,10.78
96933586,4,3,1,0,3,0.0
9784444,350,216,81,53,207,15.14
29524336,119,79,27,13,75,10.92
1631249,49,35,7,7,25,14.29
13832558,8,6,2,0,6,0.0
37678516,28,23,5,0,22,0.0
38465789,12,7,2,3,10,25.0
34488094,3,3,0,0,3,0.0
58297269,4,4,0,0,4,0.0
52531844,6,3,3,0,4,0.0
40552069,3,3,0,0,3,0.0
28438279,2,0,1,1,2,50.0
18413895,2,1,1,0,2,0.0
24888144,1,1,0,0,1,0.0
89877188,213,136,60,17,98,7.98
30684225,45,33,10,2,42,4.44
3444207,5,4,1,0,5,0.0
73561399,1,0,0,1,1,100.0
31755061,13,10,2,1,5,7.69
36072082,4,3,0,1,2,25.0
14312559,59,44,11,4,39,6.78
67656416,9,5,3,1,5,11.11
6989026,1,1,0,0,1,0.0
93182285,8,8,0,0,8,0.0
2698490,12,5,5,2,12,16.67
67153733,1,1,0,0,1,0.0
24948005,136,96,38,2,50,1.47
95241093,17,13,4,0,15,0.0
69678894,469,345,115,9,184,1.92
16397138,18,13,4,1,14,5.56
28073774,195,108,69,18,107,9.23
95080848,1065,902,155,8,868,0.75
77327424,54,47,7,0,47,0.0
7194177,39,23,16,0,21,0.0
637547,256,206,40,10,225,3.91
65909313,86,60,18,8,60,9.3
34224877,833,597,192,44,434,5.28
87510436,1,1,0,0,1,0.0
37426941,245,164,54,27,153,11.02
37523932,90,54,26,10,59,11.11
66645974,226,194,28,4,175,1.77
37766878,9,3,4,2,7,22.22
14681324,2,2,0,0,2,0.0
55594430,1,1,0,0,1,0.0
98243468,4,4,0,0,4,0.0
58495813,10,8,2,0,10,0.0
13553352,1,1,0,0,1,0.0
63986013,1,1,0,0,1,0.0
80960815,39,33,4,2,36,5.13
83565915,235,161,70,4,84,1.7
16857076,2,0,1,1,1,50.0
54200099,2,2,0,0,2,0.0
11924425,1141,794,339,8,645,0.7
47870610,2,2,0,0,2,0.0
55826402,26,15,9,2,14,7.69
28561014,134,93,32,9,66,6.72
71079044,1,1,0,0,1,0.0
52002493,272,188,62,22,133,8.09
71683097,2,1,1,0,2,0.0
2429497,22,15,5,2,12,9.09
77419766,387,307,55,25,329,6.46
31980504,8,3,3,2,7,25.0
33858396,75,55,19,1,45,1.33
19181313,1,1,0,0,1,0.0
1163349,4,2,1,1,4,25.0
32223337,17,12,5,0,10,0.0
77787430,452,265,132,55,296,12.17
98549945,10,1,4,5,4,50.0
87676131,1,1,0,0,1,0.0
75636927,257,172,60,25,201,9.73
38926541,31,21,7,3,19,9.68
74459508,30,20,6,4,13,13.33
97855853,4,3,1,0,3,0.0
86951977,4,4,0,0,3,0.0
48238617,219,142,72,5,108,2.28
98157653,9,8,1,0,9,0.0
26119052,13,11,1,1,10,7.69
85606477,1,0,0,1,1,100.0
51311621,5,5,0,0,5,0.0
1582312,1,0,0,1,1,100.0
1957017,1,1,0,0,1,0.0
1197584,4,2,2,0,3,0.0
27800001,25,17,6,2,21,8.0
58743626,11,10,1,0,4,0.0
75235341,62,49,11,2,45,3.23
29386902,49,38,4,7,37,14.29
34108315,16,12,2,2,13,12.5
91969930,13,7,5,1,11,7.69
24995354,127,69,40,18,96,14.17
13547089,3,1,2,0,3,0.0
39991002,3,2,1,0,2,0.0
11321766,16,12,2,2,13,12.5
60550342,3,2,1,0,3,0.0
75134165,289,200,88,1,175,0.35
69472841,20,14,3,3,15,15.0
89566537,2,1,1,0,2,0.0
31537810,6,6,0,0,6,0.0
72809029,5,5,0,0,4,0.0
60452514,12,6,4,2,4,16.67
79432576,34,31,3,0,34,0.0
63760219,399,272,96,31,236,7.77
97874488,35,25,7,3,34,8.57
16846782,4,2,1,1,3,25.0
75878319,69,50,18,1,62,1.45
81596701,3,2,1,0,3,0.0
15516513,727,545,156,26,660,3.58
16136514,3,3,0,0,2,0.0
543513,28,13,10,5,12,17.86
44514685,6,5,1,0,4,0.0
64998243,8,8,0,0,7,0.0
57056084,5,5,0,0,5,0.0
21147560,4,3,0,1,4,25.0
1152762,5,4,1,0,4,0.0
81540968,13,8,2,3,12,23.08
51609134,2,1,1,0,2,0.0
50049289,17,12,1,4,8,23.53
14594675,10,7,3,0,10,0.0
79583040,10,7,2,1,10,10.0
36524588,27,17,8,2,25,7.41
11037206,21,14,5,2,11,9.52
81638611,29,20,6,3,13,10.34
72361705,44,22,9,13,9,29.55
65514619,5,2,2,1,5,20.0
27682687,93,48,34,11,73,11.83
48505869,2,2,0,0,2,0.0
77492784,2,2,0,0,2,0.0
12824601,7,6,1,0,7,0.0
2854191,1,1,0,0,1,0.0
84582083,2,2,0,0,2,0.0
88744513,2,2,0,0,2,0.0
79119460,3,1,2,0,3,0.0
8065775,170,98,49,23,128,13.53
87974091,628,435,129,64,452,10.19
23437787,16,14,1,1,4,6.25
96005642,67,48,14,5,49,7.46
97303128,173,138,34,1,139,0.58
