category_level_4_id,total_interactions,clicks,cart_additions,purchases,unique_products,purchase_share_percent
22195176,4208,3145,1013,50,2822,1.19
10138475,695,501,120,74,604,10.65
90597144,1252,916,290,46,685,3.67
56253428,2700,1964,567,169,1471,6.26
28122822,161,124,32,5,119,3.11
3664628,525,347,118,60,259,11.43
88459986,1304,1004,300,0,560,0.0
462318,14803,10540,4117,146,4571,0.99
3571214,421,303,112,6,281,1.43
50976767,243,181,50,12,212,4.94
57000119,1300,893,352,55,913,4.23
97531902,14,11,3,0,13,0.0
78672396,715,496,183,36,432,5.03
69726462,236,165,64,7,196,2.97
11704491,528,351,171,6,465,1.14
42124927,289,193,72,24,251,8.3
81784476,226,179,45,2,221,0.88
41408020,185,162,18,5,140,2.7
12930214,47,20,21,6,37,12.77
40968728,149,77,36,36,111,24.16
52744028,47,35,12,0,43,0.0
10709670,131,103,28,0,89,0.0
23068738,466,370,84,12,417,2.58
30659127,212,153,59,0,153,0.0
57945958,1599,1066,509,24,910,1.5
92917839,14,8,2,4,10,28.57
52181362,83,66,11,6,76,7.23
74945795,812,466,196,150,679,18.47
50615933,891,495,232,164,564,18.41
82092464,1475,874,458,143,863,9.69
94281717,2095,1427,646,22,728,1.05
81469486,77,41,26,10,57,12.99
41367368,748,574,146,28,723,3.74
58914556,2243,1532,691,20,1345,0.89
71665626,1036,789,188,59,723,5.69
18963160,124,86,29,9,104,7.26
71901979,1671,1206,377,88,1174,5.27
98317390,539,455,75,9,322,1.67
77556669,610,520,81,9,443,1.48
97122609,1799,1502,266,31,1437,1.72
93077236,7,5,2,0,7,0.0
14264576,356,204,112,40,277,11.24
9380805,136,107,29,0,115,0.0
55434389,216,120,75,21,111,9.72
54911609,954,741,195,18,833,1.89
74420904,798,697,97,4,698,0.5
43786541,591,408,136,47,509,7.95
76679610,1662,1435,198,29,1450,1.74
60748671,183,164,17,2,180,1.09
19219242,657,483,142,32,611,4.87
17563045,142,74,42,26,108,18.31
33046078,275,204,62,9,239,3.27
47312901,43,30,11,2,31,4.65
70369524,293,216,54,23,247,7.85
