product_id,brand_id,category_level_4_id,shop_id,total_interactions,clicks,cart_additions,purchases,unique_query_records,purchase_share_percent
36098226,44571440,22195176,15887164,1,1,0,0,1,0.0
30857980,33490138,10138475,48380459,1,1,0,0,1,0.0
44577431,82873120,90597144,50470304,1,1,0,0,1,0.0
90092899,23790996,56253428,72752062,2,2,0,0,2,0.0
97234676,31286128,28122822,27155839,1,1,0,0,1,0.0
19711065,18639337,3664628,63418165,39,27,7,5,11,12.82
83045333,56563216,3664628,44190315,1,1,0,0,1,0.0
35220227,6312176,88459986,38174102,7,5,2,0,4,0.0
34165613,67072585,462318,9682594,163,127,36,0,37,0.0
82948709,96836980,3571214,5773884,2,2,0,0,2,0.0
41663570,36990206,3571214,2371768,1,1,0,0,1,0.0
1369970,96836980,3571214,63884085,1,1,0,0,1,0.0
53684976,81383506,50976767,42674069,4,2,2,0,4,0.0
82183280,81383506,50976767,42674069,1,1,0,0,1,0.0
80808907,88303246,22195176,95685981,2,2,0,0,2,0.0
84585142,72465992,57000119,45150859,1,0,1,0,1,0.0
75814813,33734605,57000119,48064413,15,13,1,1,10,6.67
69624721,40617026,57000119,60036846,3,3,0,0,3,0.0
79030721,33241674,462318,444450,2,0,2,0,2,0.0
26445318,33241674,462318,93465611,72,55,17,0,19,0.0
99564131,33241674,462318,98855232,2,1,1,0,2,0.0
13373247,33241674,462318,27181112,61,43,18,0,10,0.0
22844118,50735614,97531902,22378718,2,2,0,0,2,0.0
42865079,31775854,97531902,52527261,1,0,1,0,1,0.0
75471283,31775854,97531902,52527261,1,1,0,0,1,0.0
13083666,4867005,22195176,47663683,1,1,0,0,1,0.0
5323249,48223324,22195176,77908173,1,0,1,0,1,0.0
41239205,5289797,56253428,95180757,1,1,0,0,1,0.0
45470569,88747984,78672396,90405243,1,1,0,0,1,0.0
72153920,67072585,462318,66723664,1,1,0,0,1,0.0
14419059,45934888,69726462,87721370,2,1,1,0,2,0.0
85332275,18471319,11704491,80007023,1,1,0,0,1,0.0
10709633,67072585,462318,92905670,6,6,0,0,5,0.0
50456670,67072585,462318,91438044,1,1,0,0,1,0.0
57951172,38645246,42124927,62761993,1,1,0,0,1,0.0
31662727,41380111,81784476,21618629,1,1,0,0,1,0.0
11029424,36751651,41408020,76907470,2,1,1,0,2,0.0
31956136,57663867,12930214,59186250,1,0,0,1,1,100.0
99238154,38645246,40968728,50663185,1,0,1,0,1,0.0
65614673,38645246,40968728,84826683,1,0,1,0,1,0.0
81275305,64708148,52744028,99797682,1,1,0,0,1,0.0
59004341,92037637,52744028,13849078,1,1,0,0,1,0.0
28366785,92037637,10709670,60117527,1,1,0,0,1,0.0
28341691,42230613,10709670,94050975,8,6,2,0,8,0.0
70976819,76136718,23068738,87757522,1,1,0,0,1,0.0
21672512,40683450,23068738,41986985,1,1,0,0,1,0.0
80863454,85387774,30659127,54746443,5,5,0,0,4,0.0
26346965,33241674,462318,33100321,76,58,17,1,27,1.32
2339493,84785887,57945958,42796837,1,1,0,0,1,0.0
98257648,44465717,92917839,51592316,2,0,0,2,2,100.0
26547343,66591003,42124927,12347016,2,2,0,0,2,0.0
63648019,8611767,42124927,12732705,1,1,0,0,1,0.0
14838042,46506946,52181362,37447713,1,0,0,1,1,100.0
98197068,53045416,74945795,38014400,1,1,0,0,1,0.0
85009073,95899863,74945795,82806563,1,0,1,0,1,0.0
63585083,70175393,74945795,86620201,1,0,1,0,1,0.0
61843549,86263126,50615933,84984928,1,1,0,0,1,0.0
14550131,39343636,82092464,32711377,4,1,1,2,4,50.0
54059083,33241674,94281717,70894182,1,1,0,0,1,0.0
10258257,33241674,94281717,70894182,2,1,1,0,2,0.0
42575297,75460505,81469486,86521100,4,3,0,1,2,25.0
42967753,59378271,41367368,42471406,1,0,1,0,1,0.0
61705977,54806876,41367368,67165461,1,0,1,0,1,0.0
98811152,30508443,58914556,96928865,1,1,0,0,1,0.0
85463974,82565184,71665626,66461137,1,0,1,0,1,0.0
47841115,62324903,18963160,90987205,2,2,0,0,2,0.0
68736269,34809297,71901979,25459701,2,2,0,0,2,0.0
39405075,353993,71901979,3368600,2,1,1,0,2,0.0
61788121,74048123,71901979,95461190,4,4,0,0,4,0.0
81129714,56704907,71901979,96098877,1,1,0,0,1,0.0
81814313,37616834,71901979,69323894,5,5,0,0,4,0.0
6906800,49186125,71901979,87581245,1,1,0,0,1,0.0
23036897,48078661,98317390,86645215,6,5,1,0,5,0.0
21117093,97552724,77556669,60264164,1,1,0,0,1,0.0
89548504,97552724,77556669,60264164,1,1,0,0,1,0.0
784538,97552724,77556669,85749012,1,1,0,0,1,0.0
21046966,97552724,77556669,75049142,1,1,0,0,1,0.0
54620303,97552724,77556669,47131907,1,1,0,0,1,0.0
2617317,97552724,77556669,94097913,1,1,0,0,1,0.0
11216028,97107624,97122609,17468463,1,1,0,0,1,0.0
94207375,66608734,93077236,2115042,1,1,0,0,1,0.0
42876891,48494883,93077236,92104132,1,1,0,0,1,0.0
88603604,53681138,93077236,28987368,1,0,1,0,1,0.0
13953130,72523899,14264576,20660049,1,0,0,1,1,100.0
71035322,30675411,9380805,77543883,1,1,0,0,1,0.0
14144343,86664915,55434389,69419952,20,14,6,0,9,0.0
19375933,27794486,54911609,35612806,1,1,0,0,1,0.0
76180119,80015978,74420904,84136199,1,1,0,0,1,0.0
14051749,95952368,74420904,12518200,9,7,1,1,6,11.11
86922011,53288233,43786541,5444866,1,1,0,0,1,0.0
67135499,57938788,76679610,48601437,7,4,3,0,4,0.0
72069038,16713223,76679610,17705397,1,1,0,0,1,0.0
68175330,85219974,76679610,71949096,4,4,0,0,3,0.0
45084388,92108233,60748671,356459,1,1,0,0,1,0.0
54465738,60034801,19219242,7436145,1,1,0,0,1,0.0
62197997,74948547,17563045,54849424,1,0,1,0,1,0.0
29416122,54289642,33046078,25857771,1,1,0,0,1,0.0
