query_record_id,total_interactions,clicks,cart_additions,purchases,unique_products,purchase_share_percent
0,1,1,0,0,1,0.0
1,2,2,0,0,2,0.0
2,2,2,0,0,2,0.0
3,1,1,0,0,1,0.0
4,5,3,2,0,5,0.0
5,1,1,0,0,1,0.0
6,66,49,17,0,29,0.0
7,4,4,0,0,4,0.0
8,2,2,0,0,2,0.0
9,2,1,1,0,2,0.0
10,9,7,2,0,8,0.0
11,118,90,28,0,40,0.0
12,3,2,1,0,3,0.0
13,1,1,0,0,1,0.0
14,3,2,1,0,3,0.0
15,33,24,7,2,31,6.06
16,2,1,1,0,2,0.0
18,498,312,184,2,144,0.4
20,1,0,1,0,1,0.0
22,5,5,0,0,5,0.0
23,3,3,0,0,3,0.0
24,2,2,0,0,2,0.0
25,19,16,3,0,19,0.0
26,3,0,2,1,3,33.33
27,2,0,2,0,2,0.0
28,7,6,1,0,7,0.0
29,2,2,0,0,2,0.0
30,13,13,0,0,12,0.0
31,163,132,25,6,114,3.68
32,5,4,1,0,5,0.0
33,3,2,0,1,3,33.33
34,2,1,0,1,2,50.0
35,9,4,5,0,9,0.0
36,1,1,0,0,1,0.0
37,23,8,7,8,13,34.78
38,3,3,0,0,3,0.0
39,12,8,2,2,8,16.67
41,3,1,2,0,3,0.0
42,1,1,0,0,1,0.0
43,1,0,1,0,1,0.0
44,11,6,5,0,11,0.0
45,44,41,1,2,38,4.55
46,9,9,0,0,9,0.0
47,7,7,0,0,7,0.0
48,1,1,0,0,1,0.0
49,3,2,1,0,3,0.0
50,1,0,0,1,1,100.0
51,44,32,12,0,40,0.0
52,1,1,0,0,1,0.0
54,2,2,0,0,2,0.0
55,9,7,1,1,7,11.11
56,2,2,0,0,2,0.0
58,4,3,1,0,4,0.0
59,1,1,0,0,1,0.0
60,1,1,0,0,1,0.0
61,1,0,1,0,1,0.0
62,4,4,0,0,4,0.0
63,2,2,0,0,2,0.0
64,20,16,3,1,19,5.0
65,2,2,0,0,2,0.0
66,2,1,1,0,2,0.0
67,2,2,0,0,2,0.0
68,1,1,0,0,1,0.0
69,1,1,0,0,1,0.0
70,11,9,2,0,9,0.0
71,5,5,0,0,5,0.0
72,8,7,1,0,8,0.0
73,3,2,1,0,3,0.0
74,3,3,0,0,3,0.0
75,2,1,1,0,2,0.0
76,7,2,5,0,6,0.0
