shop_id,total_interactions,clicks,cart_additions,purchases,unique_products,unique_brands,purchase_share_percent
15887164,2,2,0,0,2,1,0.0
48380459,3,3,0,0,3,1,0.0
50470304,1,1,0,0,1,1,0.0
72752062,26,17,8,1,18,1,3.85
27155839,8,7,1,0,5,1,0.0
63418165,62,47,10,5,8,1,8.06
44190315,3157,2066,870,221,622,8,7.0
38174102,22,16,6,0,5,1,0.0
9682594,4423,2747,1588,88,309,1,1.99
5773884,22,12,7,3,17,1,13.64
2371768,29,18,10,1,12,1,3.45
63884085,294,170,108,16,64,1,5.44
42674069,13,8,4,1,10,2,7.69
95685981,41,30,8,3,26,1,7.32
45150859,1,0,1,0,1,1,0.0
48064413,23,16,3,4,8,1,17.39
60036846,16,12,2,2,11,1,12.5
444450,158,134,23,1,69,9,0.63
93465611,383,303,78,2,79,8,0.52
98855232,28,23,5,0,22,7,0.0
27181112,991,694,292,5,263,13,0.5
22378718,31,21,9,1,29,2,3.23
52527261,275,131,93,51,207,1,18.55
47663683,5,4,1,0,3,1,0.0
77908173,3,2,1,0,2,1,0.0
95180757,18,11,3,4,9,1,22.22
90405243,168,107,41,20,95,1,11.9
66723664,4,4,0,0,4,4,0.0
87721370,7,4,3,0,4,1,0.0
80007023,6,6,0,0,6,1,0.0
92905670,34,23,11,0,21,4,0.0
91438044,52,37,14,1,21,4,1.92
62761993,3,3,0,0,3,1,0.0
21618629,2,1,0,1,2,1,50.0
76907470,14,11,3,0,12,7,0.0
59186250,29,9,16,4,13,1,13.79
50663185,3,2,1,0,3,2,0.0
84826683,1,0,1,0,1,1,0.0
99797682,254,189,63,2,97,1,0.79
13849078,3,3,0,0,3,2,0.0
60117527,25,22,2,1,22,1,4.0
94050975,11,9,2,0,4,1,0.0
87757522,1,1,0,0,1,1,0.0
41986985,1,1,0,0,1,1,0.0
54746443,18,16,2,0,6,2,0.0
33100321,2097,1395,633,69,395,9,3.29
42796837,3,3,0,0,3,1,0.0
51592316,3,0,1,2,2,1,66.67
12347016,6,4,2,0,4,1,0.0
12732705,3,2,1,0,2,1,0.0
37447713,2,0,0,2,2,1,100.0
38014400,2,2,0,0,2,1,0.0
82806563,44,28,10,6,40,1,13.64
86620201,6,5,1,0,6,1,0.0
84984928,5,5,0,0,5,1,0.0
